iter	Passed	Remaining
0	2	1006
1	3	953
2	5	926
3	7	939
4	9	936
5	11	911
6	12	908
7	14	898
8	16	887
9	17	876
10	19	866
11	21	862
12	22	857
13	24	855
14	26	860
15	28	859
16	30	856
17	31	850
18	33	845
19	35	842
20	36	838
21	38	837
22	40	837
23	42	837
24	43	833
25	45	831
26	47	831
27	49	827
28	50	822
29	52	820
30	54	819
31	56	822
32	57	820
33	59	819
34	61	815
35	62	811
36	64	807
37	66	804
38	67	800
39	69	797
40	71	795
41	72	793
42	74	791
43	76	790
44	78	788
45	79	787
46	81	786
47	83	787
48	85	785
49	87	784
50	88	782
51	90	779
52	92	776
53	93	774
54	95	772
55	97	769
56	98	765
57	100	763
58	101	762
59	103	760
60	105	757
61	107	758
62	109	756
63	111	756
64	112	755
65	114	756
66	116	754
67	118	755
68	120	754
69	122	751
70	123	748
71	125	744
72	126	742
73	128	741
74	130	738
75	131	736
76	133	733
77	135	733
78	137	731
79	138	728
80	140	725
81	141	723
82	143	721
83	145	718
84	146	716
85	148	713
86	149	711
87	151	710
88	153	710
89	155	708
90	157	706
91	158	704
92	160	702
93	162	700
94	163	698
95	165	696
96	167	694
97	168	692
98	170	690
99	172	688
100	173	686
101	175	684
102	177	682
103	178	681
104	180	678
105	182	676
106	183	675
107	185	673
108	187	671
109	188	669
110	190	667
111	192	665
112	193	663
113	195	661
114	196	659
115	198	657
116	200	655
117	201	653
118	203	651
119	205	649
120	206	648
121	208	646
122	210	645
123	212	643
124	213	641
125	215	640
126	217	638
127	219	636
128	220	634
129	222	633
130	224	631
131	225	629
132	227	628
133	229	625
134	230	624
135	232	622
136	234	620
137	235	618
138	237	616
139	238	614
140	240	612
141	242	611
142	244	609
143	245	607
144	247	605
145	248	603
146	251	603
147	253	602
148	254	600
149	256	598
150	258	597
151	260	595
152	261	593
153	263	591
154	264	589
155	266	587
156	268	586
157	270	584
158	271	582
159	273	580
160	275	579
161	276	577
162	278	575
163	280	574
164	281	572
165	283	570
166	285	568
167	287	567
168	288	565
169	290	564
170	292	562
171	293	560
172	295	558
173	297	556
174	298	555
175	300	553
176	302	551
177	304	550
178	305	548
179	307	546
180	309	544
181	310	542
182	312	540
183	314	539
184	315	537
185	317	535
186	319	534
187	320	532
188	322	530
189	324	529
190	325	527
191	327	525
192	329	523
193	330	521
194	332	520
195	334	518
196	337	518
197	338	516
198	340	514
199	341	512
200	343	510
201	345	509
202	346	507
203	348	505
204	350	504
205	352	502
206	353	500
207	355	498
208	356	496
209	358	495
210	360	493
211	362	491
212	363	490
213	365	488
214	367	486
215	368	484
216	370	483
217	372	481
218	374	480
219	375	478
220	377	476
221	379	474
222	380	472
223	382	471
224	384	469
225	386	468
226	387	466
227	389	464
228	391	462
229	392	461
230	394	459
231	395	457
232	397	455
233	399	453
234	401	452
235	402	450
236	404	448
237	406	447
238	407	445
239	409	443
240	411	441
241	412	440
242	414	438
243	416	437
244	418	435
245	420	434
246	422	432
247	423	430
248	425	428
249	427	427
250	428	425
251	430	423
252	432	421
253	433	419
254	435	418
255	436	416
256	438	414
257	440	412
258	441	411
259	443	409
260	444	407
261	446	405
262	448	403
263	449	402
264	451	400
265	453	398
266	455	397
267	456	395
268	458	393
269	460	392
270	461	390
271	463	388
272	465	386
273	466	385
274	468	383
275	470	381
276	472	380
277	473	378
278	475	376
279	477	375
280	479	373
281	481	371
282	482	370
283	484	368
284	486	366
285	488	365
286	489	363
287	491	361
288	493	360
289	495	358
290	497	356
291	498	355
292	500	353
293	502	351
294	504	350
295	506	348
296	507	347
297	509	345
298	511	343
299	513	342
300	515	340
301	516	338
302	518	337
303	520	335
304	522	333
305	523	332
306	525	330
307	527	328
308	528	326
309	530	325
310	532	323
311	534	321
312	535	320
313	537	318
314	539	316
315	540	314
316	542	313
317	544	311
318	546	309
319	548	308
320	549	306
321	551	304
322	553	303
323	555	301
324	557	300
325	558	298
326	560	296
327	562	294
328	564	293
329	565	291
330	567	289
331	569	288
332	572	286
333	573	285
334	575	283
335	578	282
336	580	280
337	582	278
338	583	277
339	585	275
340	587	273
341	589	272
342	590	270
343	594	269
344	596	267
345	598	266
346	600	264
347	602	263
348	604	261
349	605	259
350	607	258
351	609	256
352	611	254
353	615	253
354	650	265
355	653	264
356	661	265
357	664	263
358	666	261
359	668	259
360	670	258
361	672	256
362	674	254
363	676	252
364	677	250
365	679	248
366	681	246
367	683	245
368	685	243
369	687	241
370	688	239
371	690	237
372	692	235
373	694	233
374	696	232
375	697	230
376	699	228
377	701	226
378	703	224
379	705	222
380	707	220
381	709	219
382	711	217
383	713	215
384	715	213
385	717	211
386	719	210
387	721	208
388	724	206
389	726	204
390	728	202
391	729	201
392	732	199
393	735	197
394	736	195
395	738	193
396	740	192
397	742	190
398	744	188
399	746	186
400	747	184
401	749	182
402	751	180
403	752	178
404	754	177
405	756	175
406	758	173
407	759	171
408	761	169
409	763	167
410	765	165
411	767	163
412	768	161
413	770	160
414	773	158
415	775	156
416	776	154
417	778	152
418	780	150
419	782	148
420	783	147
421	785	145
422	786	143
423	789	141
424	790	139
425	792	137
426	793	135
427	795	133
428	797	131
429	798	130
430	800	128
431	802	126
432	803	124
433	805	122
434	808	120
435	809	118
436	811	116
437	813	115
438	815	113
439	816	111
440	818	109
441	820	107
442	821	105
443	823	103
444	825	102
445	827	100
446	829	98
447	830	96
448	832	94
449	833	92
450	835	90
451	837	88
452	838	87
453	840	85
454	842	83
455	844	81
456	845	79
457	847	77
458	849	75
459	850	73
460	852	72
461	854	70
462	856	68
463	858	66
464	860	64
465	862	62
466	863	61
467	865	59
468	866	57
469	868	55
470	870	53
471	872	51
472	874	49
473	875	48
474	877	46
475	879	44
476	881	42
477	883	40
478	884	38
479	886	36
480	888	35
481	890	33
482	891	31
483	893	29
484	895	27
485	897	25
486	898	23
487	900	22
488	902	20
489	903	18
490	905	16
491	907	14
492	908	12
493	910	11
494	912	9
495	914	7
496	915	5
497	917	3
498	919	1
499	920	0
